SMILES,Validity,SA Score
CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCOC(=O)C(CCCCCCCC)CCCCCCCC)CCO,True,2.85354194194899
CCCCCCCCCCCCCCCCCC(=O)OCC(CN(C)C)OC(=O)CCCCCCCCCCCCCCCCC,True,2.9544908297380506
CCCCCCCCCOC(=O)CCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.840447836233567
CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.854985211179759
CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCCC(O)(CCCCCCOC(=O)CCCCCCC/C=C\CCCCCCCC)CCCCN(CCC)CCC,True,3.4320071350305845
CCCCCC/C=C\COC(=O)CCCCCCCN(CCCCCCCC(=O)OC/C=C\CCCCCC)C(=O)SCCN(C)C,True,3.2468168177988286
CCCCCCCCOC(CCC(=O)OCC(COC(=O)CCCCCCC/C=C\C/C=C\CCCCC)COC(=O)OCCCN(CC)CC)OCCCCCCCC,True,4.04861571129189
CCCCC/C=C\C/C=C\CCCCCCCCC1(OC(CO1)CCN(C)C)CCCCCCCC/C=C\C/C=C\CCCCC,True,3.797056315894652
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCCCC(=O)OCCCCCCC)CCO,True,2.817068696599504
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCCN(CCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCCO,True,3.6167609119935573
CCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCC)(COC(=O)CCCCCCC/C=C\CCCC)COC(=O)CCCN(C)C,True,3.363105311066743
CCCCCCCCCOC(=O)CCCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8037235822382094
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCN(CCCCCCC(=O)OCCCCCCC)CCO,True,2.779298261735647
CCCCCCCCCOC(=O)CCCCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.840447836233567
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCC(=O)OCCCCCCC)CCO,True,2.791121280670943
CCCCCCCCCCCOC(=O)CCCCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.8860008314027166
CCCCCCCCCOC(=O)CCCCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8772352929411795
CCCCCCCCCOC(=O)CCCCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.817068696599504
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCN(CCCCCCCC(=O)OCCCCCCC)CCO,True,2.8037235822382094
CCCCCCCCCOC(=O)CCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.854985211179759
CCCCCCCCCOC(=O)CCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8311227953170377
CCCCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.9024253826411037
CCCCCCCC/C=C\CCCCCCCCOCC(CN(C)C)OCCCCCCCC/C=C\CCCCCCCC,True,3.2445861958328113
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCCCC(=O)OCCCCCCC)CCCO,True,2.840447836233567
CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCCN(CCO)CCCCCC(=O)OCCCCCCCCCCC(F)(F)F,True,3.0231661338582008
CCCCCCCC/C=C\CCCCCCCC(=O)OCC(CN(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC,True,3.3173100911482134
CCCCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.910999799978873
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCN(CCCCCCC(=O)OCCCCCCC)CCO,True,2.791121280670943
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCN(CCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCCCO,True,3.6002136091113304
CCCCCCCCCCCOC(=O)CCCCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8458544419489886
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCCN(CCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCCCCO,True,3.652597964770904
CCCCCCCCCCCOC(=O)CCCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.8701787982197278
CCCCCCCCCCC(CCCCCCCC)COC(=O)CCN(CCCCN1CCN(C)CC1)CCC(=O)OCC(CCCCCCCC)CCCCCCCCCC,True,3.905484044838092
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCO,True,3.529387732543544
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCCO,True,3.5526626471522427
CCCCCCCCCCCCCC(=O)OCC(CN(C)C)OC(=O)CCCCCCCCCCCCC,True,2.8662769313185557
CCCCCCCCCCCOC(=O)CCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.840447836233567
CCCCCCCCCCCOC(=O)CCCCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.910999799978873
CCCCCCCCCOC(=O)CCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.813463069417695
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCN(CCCCCCC(=O)OCCCCCCC)CCCO,True,2.813463069417695
CCCCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8772352929411795
CCCCC/C=C\C/C=C\CCCCCCCCOCC(CN(C)C)OCCCCCCCC/C=C\C/C=C\CCCCC,True,3.5331624644676243
CCCCCCCCCOC(=O)CCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.791121280670943
CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.8701787982197278
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCN(CCCCCCCC(=O)OCCCCCCC)CCO,True,2.791121280670943
CCCCCCCCCOC(=O)CCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.817068696599504
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCN(CCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCCCCO,True,3.583882107282344
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCN(CCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCCO,True,3.5835044052375533
CCCCCCCCCCCOC(=O)CCCCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.86123437121816
CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8772352929411795
CCCCCCCCCCC(O)CN(CCCCC1NC(=O)C(CCCCN(CC(O)CCCCCCCCCC)CC(O)CCCCCCCCCC)NC1=O)CC(O)CCCCCCCCCC,True,4.6666872045458945
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCCN(CCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCO,True,3.5916762942522773
CCCCCCCCCOC(=O)CCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8037235822382094
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCN(CCCCCCCC(=O)OCCCCCCC)CCCO,True,2.8265964557968264
CCCCCCCCCCCOC(=O)CCCCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.8701787982197278
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCN(CCO)CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,True,2.917295311845404
CCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,True,2.86082895688042
CCCCCCCCN(CCCCCC)C(=O)CCCCCCCN(CCO)CCCCCCCC(=O)N(CCCCCC)CCCCCCCC,True,2.6629769876706337
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCN(CCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCCCCO,True,3.617124795670854
CCCCCCCCCOC(=O)CCCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.840447836233567
CCCCCCCCCCCC(CN(CCN(C)CCN(CC(CCCCCCCCCCC)O)CC(CCCCCCCCCCC)O)CC(CCCCCCCCCCC)O)O,True,3.995407804702049
CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCC(COC(=O)CCC(OCCCCCCCC)OCCCCCCCC)COC(=O)OCCCN(CC)CC,True,4.04861571129189
CCCCCCCCC(CC)OC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCNC1C(NC)C(=O)C1=O,True,4.342831871255604
CCCCCCCCCOC(=O)CCCCCCCCCN(CCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.910999799978873
CCCCCCCCCOC(=O)CCCCCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.8265964557968264
CCCCCCCCCOC(=O)CCCCCCCN(CCO)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,True,2.8458544419489886
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCN(CCCCCC(=O)OCCCCCCC)CCO,True,2.7682939191555835
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCN(CCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCO,True,3.559286372989554
CCCCCCCCCCCC(CNCCOCCOCCN(CC(CCCCCCCCCCC)O)CC(CCCCCCCCCCC)O)O,True,3.8088695019327545
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCN(CCCCCC(=O)OCCCCCCC)CCO,True,2.779298261735647
CCCCCC/C=C\COC(=O)CCCCCCCN(CCCCCCCC(=O)OC/C=C\CCCCCC)C(=O)CSCCN(C)C,True,3.185989606493737
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCCN(CCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCCCO,True,3.634593264147459
CCCCCCCCCCC(CN(CCN1CCN(CC1)CCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)CCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)O,True,4.670372683665047
