SMILES,Validity,SA Score
CCCCCCCCCC=CCCOC(=O)C1CC2(C1)CN(CC(=O)N1CCO[C@H](C)C1)C[C@@H]2C(=O)OC/C=C/CCCCCCCCCC,True,4.5798057142689625
C=CCCCCCCCCCCC[C@H](C)N1C[C@H](O)C[C@]1(C)C(=O)N(Cc1ccc(O)cc1O)[C@@H](CC)CCCCCCCCCCCCCC,True,4.489623297737517
CCCCCCCCCC[C@H](CC(C)C)N(C[C@@H](C)O)[C@H](CO)C(=O)OC/C=C\C(C)C,True,4.003579555322187
CC=CC[C@@H](CCCCCCCC)N(C(=O)C(=O)N(CCCN1CCC[C@@H]1C(=O)N(C)C)C(=O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1)[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,True,6.103640350226421
C/C=C\C/C=C/CCCCCCN(C[C@@H]1O[C@H](C(=O)NCCc2ccccn2)[C@H](O)[C@H](O)[C@H]1O)C(=O)N1CCC[C@@H](CCCCCCCC)CC1,True,4.608205003618661
CC/C=C\C/C=C\CCN(C/C=C/C=C/CCCCCCCCC)C(=O)C(=O)N(C[C@@H](O)CN1CCc2ccccc2C1)C(=O)c1cnn(C[C@@H](O)CO)c1,True,4.593088468800989
CCCCC/C=C\C/C=C\COC(=O)[C@](C)(CO)N(/C=C\CCCCCC)C[C@@H](O)COCc1ccccc1,True,3.986335388569387
CCCCCCCCCCCC[C@@H](CC)N(C(=O)[C@@H](NCCCc1ccccc1)[C@@H](C)O)C(CO)CO,True,3.682799684091549
CCCCCC/C=C\OC(=O)c1cc(C)nc(N(C[C@H](C)CCCCCCCC)C[C@@H](O)[C@H](C)O)n1,True,4.072294020532789
C=C/C=C\CCOC(=O)[C@](CC)(COC)N(C[C@@H](O)CC1(O)CCOCC1)[C@@H](C)/C=C/CCCC,True,4.773421394160162
CCCCCCCC[C@@H](CCC(C)C)NC(=O)C(=O)N(CC[C@H]1C[C@@H]1CCCCCCC)C(=O)C(=O)N(CC1(N2CCOCC2)CCOCC1)C(=O)C1=C[C@@H](O)[C@@H](O)[C@H](O)C1,True,5.470771833090895
C/C=C/C=C/C=C/C=C/OC(=O)C1(C(=O)OCCCCCCCCCCCCCCCCCCCC)CCN(C[C@H](COC)OC)CC1,True,4.004347347028148
